Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Willamette Falls,3/1/2012,,,,14,,,,,,,,,,3.9
Willamette Falls,3/2/2012,,,,2,,,,,,,,,,3.9
Willamette Falls,3/3/2012,,,,11,,,,,,,,,,
Willamette Falls,3/4/2012,,,,68,,,,,,,,,,
Willamette Falls,3/5/2012,,,,89,,,,,,,,,,6.1
Willamette Falls,3/6/2012,,,,153,,,,,,,,,,5.6
Willamette Falls,3/7/2012,,1,,70,,,,,,,,,,5.6
Willamette Falls,3/8/2012,,,,36,,,,,,,,,,5.6
Willamette Falls,3/9/2012,,,,36,,,,,,,,,,5.6
Willamette Falls,3/10/2012,,,,56,,,,,,,,,,
Willamette Falls,3/11/2012,,,,72,,,,,,,,,,
Willamette Falls,3/12/2012,,,,77,,,,,,,,,,6.1
Willamette Falls,3/13/2012,,,,57,,,,,,,,,,6.1
Willamette Falls,3/14/2012,,,,15,,,,,,,,,,5.6
Willamette Falls,3/15/2012,,,,29,,,,,,,,,,5.6
Willamette Falls,3/16/2012,,,,5,,,,,,,,,,6.1
Willamette Falls,3/17/2012,,,,8,,,,,,,,,,
Willamette Falls,3/18/2012,,,,26,,,,,,,,,,
Willamette Falls,3/19/2012,,,,17,,,,,,,,,,6.7
Willamette Falls,3/20/2012,,,,19,,,,,,,,,,6.7
Willamette Falls,3/21/2012,,,,16,,,,,,,,,,6.1
Willamette Falls,3/22/2012,,,,5,,,,,,,,,,6.1
Willamette Falls,3/23/2012,,,,-1,,,,,,,,,,
Willamette Falls,3/24/2012,,,,7,,,,,,,,,,
Willamette Falls,3/25/2012,,,,82,,,,,,,,,,
Willamette Falls,3/26/2012,,,,210,,,,,,,,,,7.8
Willamette Falls,3/27/2012,,,,182,,,,,,,,,,7.8
Willamette Falls,3/28/2012,,,,223,,,,,,,,,,
Willamette Falls,3/29/2012,,,,183,,,,,,,,,,8.3
Willamette Falls,3/30/2012,,,,106,,,,,,,,,,8.3
Willamette Falls,3/31/2012,,,,14,,,,,,,,,,
Willamette Falls,4/1/2012,,,,20,,,,,,,,,,
Willamette Falls,4/2/2012,,,,13,,,,,,,,,,8.9
Willamette Falls,4/3/2012,,,,36,,,,,,,,,,8.9
Willamette Falls,4/4/2012,,,,65,,,,,,,,,,8.9
Willamette Falls,4/5/2012,,,,40,,,,,,,,,,8.3
Willamette Falls,4/6/2012,,,,30,,,,,,,,,,
Willamette Falls,4/7/2012,,,,66,,,,,,,,,,
Willamette Falls,4/8/2012,,,,182,,,,,,,,,,
Willamette Falls,4/9/2012,,2,,501,,,,,,,,,,9.4
Willamette Falls,4/10/2012,,8,3,564,,,,,,,,,,9.4
Willamette Falls,4/11/2012,,20,1,331,,,,,,,,,,10
Willamette Falls,4/12/2012,,23,,198,,,,,,,,,,10
Willamette Falls,4/13/2012,,18,,183,,,,,,,,,,10
Willamette Falls,4/14/2012,,36,,115,,,,,,,,,,
Willamette Falls,4/15/2012,,34,,134,,,,,,,,,,
Willamette Falls,4/16/2012,,42,,168,,,,,,,,,,10
Willamette Falls,4/17/2012,,51,,159,,,,,,,,,,10
Willamette Falls,4/18/2012,,29,,144,,,,,,,,,,10
Willamette Falls,4/19/2012,,9,,73,,,,,,,,,,9.4
Willamette Falls,4/20/2012,,16,,109,,,,,,,,,,9.4
Willamette Falls,4/21/2012,,7,,91,,,,,,,,,,
Willamette Falls,4/22/2012,,16,,192,,,,,,,,,,
Willamette Falls,4/23/2012,,34,1,233,,,,,,,,,,11.7
Willamette Falls,4/24/2012,,319,9,434,,,,,,,,,,12.2
Willamette Falls,4/25/2012,,603,15,301,,,,,,,,,,12.2
Willamette Falls,4/26/2012,,283,1,208,,,,,,,,,,11.7
Willamette Falls,4/27/2012,,165,2,185,,,,,,,,,,11.1
Willamette Falls,4/28/2012,,28,,73,,,,,,,,,,
Willamette Falls,4/29/2012,,50,,95,,,,,,,,,,
Willamette Falls,4/30/2012,,65,,142,,,,,,,,,,10.6
Willamette Falls,5/1/2012,,55,,102,,,,,,,,,,10.6
Willamette Falls,5/2/2012,,86,1,122,,,,,,,,,,11.1
Willamette Falls,5/3/2012,,47,1,67,,,,,,,,,,10
Willamette Falls,5/4/2012,,27,,84,,,,,,,,,,
Willamette Falls,5/5/2012,,26,1,111,,,,,,,,,,
Willamette Falls,5/6/2012,,32,,115,,,,,,,,,,
Willamette Falls,5/7/2012,,52,2,196,,,,,,,,,,
Willamette Falls,5/8/2012,,282,8,231,,,,,,,,,,11.1
Willamette Falls,5/9/2012,,2087,80,372,,,,,,,,,,12.2
Willamette Falls,5/10/2012,,1676,23,299,,,,,,,,,,12.8
Willamette Falls,5/11/2012,,1694,20,325,,,,,,,,,,13.3
Willamette Falls,5/12/2012,,1184,53,231,,,,,,,,,,
Willamette Falls,5/13/2012,,1390,49,314,,,,,,,,,,
Willamette Falls,5/14/2012,,1435,57,514,,,,,,,,,,
Willamette Falls,5/15/2012,,1487,46,391,,,,,,,,,,15
Willamette Falls,5/16/2012,,1460,41,538,,,,,,,,,,15.6
Willamette Falls,5/17/2012,,811,28,421,,,,,,,,,,15.6
Willamette Falls,5/18/2012,,678,29,329,,,,,,,,,,15.6
Willamette Falls,5/19/2012,,567,28,428,,,,,,,,,,
Willamette Falls,5/20/2012,,258,14,282,,,,,,,,,,
Willamette Falls,5/21/2012,,206,10,291,,,,,,,,,,14.4
Willamette Falls,5/22/2012,,235,11,272,,,,,,,,,,14.4
Willamette Falls,5/23/2012,,157,6,238,,,,,,,,,,13.9
Willamette Falls,5/24/2012,,96,3,206,,,,,,,,,,13.9
Willamette Falls,5/25/2012,,73,1,194,,,,,,,,,,
Willamette Falls,5/26/2012,,78,7,310,,,,,,,,,,
Willamette Falls,5/27/2012,,208,10,318,,,,,,,,,,
Willamette Falls,5/28/2012,,283,17,344,,,,,,,,,,
Willamette Falls,5/29/2012,,470,27,424,,,,,,,,,,12.2
Willamette Falls,5/30/2012,,830,45,556,,,,,,,,,,12.8
Willamette Falls,5/31/2012,,933,56,396,,,,,,,,,,
