Year,Chin,site_no,temperature_c,temperature_f
2008,125582,453630122021400,7.160413543228384,44.88874437781109
2009,114548,453630122021400,6.047072845156369,42.88473112128147
2010,244419,453630122021400,9.793195069132096,49.627751124437765
2011,167132,453630122021400,8.281650563607085,46.906971014492754
2012,158088,453630122021400,9.351136775362317,48.83204619565218
2013,83339,453630122021400,9.659855466288594,49.387739839319444
2014,188079,453630122021400,10.200959215904867,50.36172658862878
2015,220471,453630122021400,10.743631239935588,51.33853623188406
2016,137204,453630122021400,10.882785873546744,51.58901457238414
2017,83623,453630122021400,10.389520202020204,50.70113636363637
2018,87892,453630122021400,10.32061027568922,50.57709849624061
2019,54657,453630122021400,10.36700450450451,50.66060810810812
2020,55590,453630122021400,10.145209807886756,50.26137765419616
