Year,Portland,Gresham,Hillsboro,Beaverton,Tigard,Lake Oswego,Total
2000,529845,90474,70888,78327,42750,35683,847967
2001,535755,92102,73693,80245,43697,35827,861319
2002,540833,93558,75754,81342,44192,36078,871757
2003,542496,94427,77463,82067,44488,36089,877030
2004,536636,93942,79178,82810,44795,36130,873491
2005,538053,94739,81666,84362,45539,36187,880546
2006,544669,96471,84307,86066,46365,36330,894208
2007,555306,98946,86139,86939,46743,36405,910478
2008,566850,101597,88029,87873,47153,36577,928079
2009,578104,104146,90239,89136,47744,36624,945993
2010,585429,106008,92559,90100,48326,36813,959235
2011,595451,107720,94274,91569,49244,37049,975307
2012,604264,108779,96343,92558,49818,37284,989046
2013,609890,109221,98160,93279,50361,37475,998386
2014,620510,110029,99827,94714,50674,37842,1013596
2015,631366,110378,102550,95863,51060,38282,1029499
2016,642720,111762,105374,97738,51978,38699,1048271
2017,647924,111243,107433,97824,53373,39280,1057077
2018,650837,109808,108201,98775,54652,39524,1061797
2019,654741,109381,109128,99037,55514,39822,1067623
