ESU,ESU ID,Stratum,Stratum ID,Independent Population,Independent Population ID,spawning_year,Lifestage,WildCount,NOSAEJ,CI_Wild,AbGoal,mile_Surveyed,total_site,AbComments,AbSource,Comments_WildCount
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,1974,adult,179,,,,,,,"Appendix C, LC Recovery Plan, Table B.1-1.",
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,1975,adult,144,,,,,,,"Appendix C, LC Recovery Plan, Table B.1-1.",
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,1976,adult,172,,,,,,,"Appendix C, LC Recovery Plan, Table B.1-1.",
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,1977,adult,173,,,,,,,"Appendix C, LC Recovery Plan, Table B.1-1.",
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,1978,adult,166,,,,,,,"Appendix C, LC Recovery Plan, Table B.1-1.",
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,1979,adult,235,,,,,,,"Appendix C, LC Recovery Plan, Table B.1-1.",
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,1980,adult,844,,,,,,,"Appendix C, LC Recovery Plan, Table B.1-1.",
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,1981,adult,1187,,,,,,,"Appendix C, LC Recovery Plan, Table B.1-1.",
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,1982,adult,1157,,,,,,,"Appendix C, LC Recovery Plan, Table B.1-1.",
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,1983,adult,1033,,,,,,,"Appendix C, LC Recovery Plan, Table B.1-1.",
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,1984,adult,1087,,,,,,,"Appendix C, LC Recovery Plan, Table B.1-1.",
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,1985,adult,674,,,,,,,"Appendix C, LC Recovery Plan, Table B.1-1.",
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,1986,adult,715,,,,,,,"Appendix C, LC Recovery Plan, Table B.1-1.",
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,1987,adult,908,,,,,,,"Appendix C, LC Recovery Plan, Table B.1-1.",
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,1988,adult,1229,,,,,,,"Appendix C, LC Recovery Plan, Table B.1-1.",
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,1989,adult,1135,,,,,,,"Appendix C, LC Recovery Plan, Table B.1-1.",
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,1990,adult,1347,,,,,,,"Appendix C, LC Recovery Plan, Table B.1-1.",
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,1991,adult,1823,,,,,,,"Appendix C, LC Recovery Plan, Table B.1-1.",
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,1992,adult,1398,,,,,,,"Appendix C, LC Recovery Plan, Table B.1-1.",
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,1993,adult,1217,,,,,,,"Appendix C, LC Recovery Plan, Table B.1-1.",
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,1994,adult,859,,,,,,,"Appendix C, LC Recovery Plan, Table B.1-1.",
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,1995,adult,652,,,,,,,"Appendix C, LC Recovery Plan, Table B.1-1.",
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,1996,adult,353,,,,,,,"Appendix C, LC Recovery Plan, Table B.1-1.",
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,1997,adult,504,,,,,,,"Appendix C, LC Recovery Plan, Table B.1-1.",
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,1998,adult,555,,,,,,,"Appendix C, LC Recovery Plan, Table B.1-1.",
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,1999,adult,342,,,,,,,"Appendix C, LC Recovery Plan, Table B.1-1.",
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,2000,adult,846,,,,,,,"Appendix C, LC Recovery Plan, Table B.1-1.",
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,2001,adult,1459,,,,,,,"Appendix C, LC Recovery Plan, Table B.1-1.",
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,2002,adult,2170,2256,327,,,,Count at North Fork Dam / 0.78 to expand to areas below the dam and adjusted for unmarked hatchery-origin fish.  Includes Fall Creek.,Schroeder et al. 2007,
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,2003,adult,3364,4299,918,,,,Count at North Fork Dam / 0.78 to expand to areas below the dam and adjusted for unmarked hatchery-origin fish.  Includes Fall Creek.,Schroeder et al. 2007,
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,2004,adult,5176,6157,961,,,,Count at North Fork Dam / 0.78 to expand to areas below the dam and adjusted for unmarked hatchery-origin fish.  Includes Fall Creek.,Schroeder et al. 2007,
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,2005,adult,2295,2729,434,,,,Count at North Fork Dam / 0.78 to expand to areas below the dam and adjusted for unmarked hatchery-origin fish.  Includes Fall Creek.,Schroeder et al. 2007,
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,2006,adult,1049,1234,211,,,,Count at North Fork Dam / 0.78 to expand to areas below the dam and adjusted for unmarked hatchery-origin fish.  Includes Fall Creek.,Schroeder et al. 2007,
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,2007,adult,1655,1768,258,,,,Count at North Fork Dam / 0.78 to expand to areas below the dam and adjusted for unmarked hatchery-origin fish.  Includes Fall Creek.,Schroeder et al. 2007,
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,2008,adult,1773,2085,,,,,Count at North Fork Dam / 0.78 to expand to areas below the dam and adjusted for unmarked hatchery-origin fish.  Includes Fall Creek.,Schroeder personal communication,
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,2009,adult,818,967,,,,,Count at North Fork Dam / 0.78 to expand to areas below the dam and adjusted for unmarked hatchery-origin fish.  Includes Fall Creek.,Schroeder personal communication,
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,2010,adult,1342,1604,,804,,,Count at North Fork Dam / 0.78 to expand to areas below the dam and adjusted for unmarked hatchery-origin fish.  Includes Fall Creek.,Schroeder personal communication,
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,2011,adult,1765,2035,,667,,,Count at North Fork Dam / 0.78 to expand to areas below the dam and adjusted for unmarked hatchery-origin fish.  Includes Fall Creek.,Whitman and Cannon personal communication,
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,2012,adult,1833,2217,,720,,,Count at North Fork Dam / 0.78 to expand to areas below the dam and adjusted for unmarked hatchery-origin fish.  Includes Fall Creek.,Whitman and Cannon personal communication,
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,2013,adult,2238,2740,,802,,,Count at North Fork Dam / 0.78 to expand to areas below the dam and adjusted for unmarked hatchery-origin fish.  Includes Fall Creek.,Whitman and Cannon personal communication,
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,2014,adult,984,1231,,783,,,Count at North Fork Dam / 0.78 to expand to areas below the dam and adjusted for unmarked hatchery-origin fish.  Includes Fall Creek.,Whitman and Cannon personal communication,
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,2015,adult,2466,3041,,1090,,,Count at North Fork Dam / 0.78 to expand to areas below the dam and adjusted for unmarked hatchery-origin fish.  Includes Fall Creek.,Whitman and Cannon personal communication,
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,2016,adult,3479,4346,,1390,,,Count at North Fork Dam / 0.78 to expand to areas below the dam and adjusted for unmarked hatchery-origin fish.  Includes Fall Creek.,Whitman and Cannon personal communication,
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,2017,adult,3586,4534,,1529,,,Count at North Fork Dam / 0.78 to expand to areas below the dam and adjusted for unmarked hatchery-origin fish.  Includes Fall Creek.,Whitman and Cannon personal communication,
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,2018,adult,2313,2864,,,,,Count at North Fork Dam / 0.78 to expand to areas below the dam and adjusted for unmarked hatchery-origin fish.  Includes Fall Creek.,Whitman and Cannon personal communication,
Lower Columbia,10116060000,Cascade,50116060302,Clackamas,30116060322,2019,adult,2279,2820,,,62,20,Count at North Fork Dam / 0.78 to expand to areas below the dam and adjusted for unmarked hatchery-origin fish.  Includes Fall Creek.,Whitman and Cannon personal communication,
Lower Columbia,10116060000,Cascade,50116060302,Sandy,30116060323,1981,adult,373,,,,,,Above Marmot Dam only. Fish were sorted at the dams and all or most of fin-clipped fish were removed.  Fish were sorted at Marmot trap and only unclipped fish were allowed to pass.,Marmot Dam Counts (Bruce McIntosh),
