Project,Year,Dates,Chinook
Willamette Falls,2000, 3/15 - 5/31,32475
Willamette Falls,2001, 3/15 - 5/31,41417
Willamette Falls,2002, 3/15 - 5/31,57163
Willamette Falls,2003, 3/15 - 5/31,69118
Willamette Falls,2004, 3/15 - 5/31,81837
Willamette Falls,2005, 3/15 - 5/31,26956
Willamette Falls,2006, 3/15 - 5/31,25217
Willamette Falls,2007, 3/15 - 5/31,16559
Willamette Falls,2008, 3/15 - 5/31,5679
Willamette Falls,2009, 3/15 - 5/31,17057
Willamette Falls,2010, 3/15 - 5/31,43661
Willamette Falls,2011, 3/15 - 5/31,18970
Willamette Falls,2012, 3/15 - 5/31,20761
Willamette Falls,2013, 3/15 - 5/31,17821
Willamette Falls,2014, 3/15 - 5/31,19671
Willamette Falls,2015, 3/15 - 5/31,44169
Willamette Falls,2016, 3/15 - 5/31,16836
Willamette Falls,2017, 3/15 - 5/31,17483
Willamette Falls,2018, 3/15 - 5/31,15256
Willamette Falls,2019, 3/15 - 5/31,14511
Willamette Falls,2020, 3/15 - 5/31,17129
