Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,2020-03-01,,1,,54,22,,,,,,,,,
Bonneville,2020-03-02,,,,35,18,,,,,,,,,
Bonneville,2020-03-03,,1,,20,9,,,,,,,,,
Bonneville,2020-03-04,,,,49,24,,,,,,,,,
Bonneville,2020-03-05,,1,,36,18,,,,,,,,,
Bonneville,2020-03-06,,1,,37,16,,,,,,,,,
Bonneville,2020-03-07,,1,,35,9,,,,,,,,,
Bonneville,2020-03-08,,1,,34,14,,,,,,,,,
Bonneville,2020-03-09,,1,,14,8,,,,,,,,,
Bonneville,2020-03-10,,,,15,5,,,,,,,,,
Bonneville,2020-03-11,,3,,44,19,,,,,,,,,
Bonneville,2020-03-12,,,,28,12,,,,,,,,,
Bonneville,2020-03-13,,2,,44,17,,,,,,,,,
Bonneville,2020-03-14,,3,,29,9,,,,,,,,,
Bonneville,2020-03-15,Sp,,,17,5,,,,,,,,,
Bonneville,2020-03-16,Sp,1,,18,5,,,,,,,,,
Bonneville,2020-03-17,Sp,3,,21,5,,,,,,,,,
Bonneville,2020-03-18,Sp,1,,27,6,,,,,,,,,
Bonneville,2020-03-19,Sp,1,,42,20,,,,,,,,,
Bonneville,2020-03-20,Sp,4,,46,24,,,,,,,,,
Bonneville,2020-03-21,Sp,3,,25,6,,,,,,,,,
Bonneville,2020-03-22,Sp,1,,36,13,,,,,,,,,
Bonneville,2020-03-23,Sp,,,35,21,,,,,,,,,
Bonneville,2020-03-24,Sp,1,,32,12,,,,,,,,,
Bonneville,2020-03-25,Sp,2,,34,20,,,,,,,,,
Bonneville,2020-03-26,Sp,2,,26,17,,,,,,,,,
Bonneville,2020-03-27,Sp,1,,25,15,,,,,,,,,
Bonneville,2020-03-28,Sp,2,,13,2,,,,,,,,,
Bonneville,2020-03-29,Sp,7,,38,18,,,,,,,,,
Bonneville,2020-03-30,Sp,2,,54,30,,,,,,,,,
Bonneville,2020-03-31,Sp,5,,30,19,,,,,,,,,
Bonneville,2020-04-01,Sp,8,,3,2,,,,,,,,,
Bonneville,2020-04-02,Sp,7,,30,9,,,,,,,,,
Bonneville,2020-04-03,Sp,5,,25,9,,,,,,,,,
