Project,Date,Chin,agency_cd,site_no,Gage_Mean
Bonneville,2009-03-01,0,USGS,14128600,75.39
Bonneville,2009-03-02,1,USGS,14128600,75.83
Bonneville,2009-03-03,0,USGS,14128600,75.65
Bonneville,2009-03-04,0,USGS,14128600,76.47
Bonneville,2009-03-05,0,USGS,14128600,76.57
Bonneville,2009-03-06,3,USGS,14128600,76.48
Bonneville,2009-03-07,0,USGS,14128600,75.97
Bonneville,2009-03-08,1,USGS,14128600,75.92
Bonneville,2009-03-09,12,USGS,14128600,76.4
Bonneville,2009-03-10,0,USGS,14128600,76.42
Bonneville,2009-03-11,0,USGS,14128600,76.11
Bonneville,2009-03-12,2,USGS,14128600,75.67
Bonneville,2009-03-13,4,USGS,14128600,76.03
Bonneville,2009-03-14,0,USGS,14128600,75.6
Bonneville,2009-03-15,2,USGS,14128600,75.97
Bonneville,2009-03-16,3,USGS,14128600,76.2
Bonneville,2009-03-17,2,USGS,14128600,76.26
Bonneville,2009-03-18,3,USGS,14128600,76.16
Bonneville,2009-03-19,14,USGS,14128600,75.89
Bonneville,2009-03-20,3,USGS,14128600,76.24
Bonneville,2009-03-21,10,USGS,14128600,76.39
Bonneville,2009-03-22,7,USGS,14128600,76.25
Bonneville,2009-03-23,9,USGS,14128600,76.54
Bonneville,2009-03-24,10,USGS,14128600,76.27
Bonneville,2009-03-25,9,USGS,14128600,76.14
Bonneville,2009-03-26,12,USGS,14128600,76.28
Bonneville,2009-03-27,10,USGS,14128600,75.66
Bonneville,2009-03-28,6,USGS,14128600,76.45
Bonneville,2009-03-29,9,USGS,14128600,76.33
Bonneville,2009-03-30,9,USGS,14128600,76.04
Bonneville,2009-03-31,23,USGS,14128600,76.32
Bonneville,2009-04-01,10,USGS,14128600,76.34
Bonneville,2009-04-02,12,USGS,14128600,76.14
Bonneville,2009-04-03,47,USGS,14128600,76.02
Bonneville,2009-04-04,42,USGS,14128600,76.14
Bonneville,2009-04-05,65,USGS,14128600,75.8
Bonneville,2009-04-06,100,USGS,14128600,75.35
Bonneville,2009-04-07,79,USGS,14128600,75.35
Bonneville,2009-04-08,88,USGS,14128600,75.15
Bonneville,2009-04-09,130,USGS,14128600,75.88
Bonneville,2009-04-10,179,USGS,14128600,76.66
Bonneville,2009-04-11,97,USGS,14128600,76.59
Bonneville,2009-04-12,101,USGS,14128600,76.08
Bonneville,2009-04-13,74,USGS,14128600,75.11
Bonneville,2009-04-14,89,USGS,14128600,74.91
Bonneville,2009-04-15,55,USGS,14128600,75.68
Bonneville,2009-04-16,112,USGS,14128600,75.2
Bonneville,2009-04-17,152,USGS,14128600,75.03
Bonneville,2009-04-18,258,USGS,14128600,75.09
Bonneville,2009-04-19,742,USGS,14128600,74.75
Bonneville,2009-04-20,616,USGS,14128600,74.45
Bonneville,2009-04-21,1164,USGS,14128600,74.64
Bonneville,2009-04-22,1990,USGS,14128600,74.51
Bonneville,2009-04-23,2142,USGS,14128600,75.48
Bonneville,2009-04-24,1509,USGS,14128600,77.19
Bonneville,2009-04-25,1604,USGS,14128600,76.06
Bonneville,2009-04-26,1765,USGS,14128600,75.99
Bonneville,2009-04-27,2095,USGS,14128600,76.01
Bonneville,2009-04-28,1483,USGS,14128600,75.64
Bonneville,2009-04-29,2904,USGS,14128600,75.33
Bonneville,2009-04-30,2151,USGS,14128600,75.74
Bonneville,2009-05-01,3028,USGS,14128600,75.95
Bonneville,2009-05-02,7036,USGS,14128600,75.62
Bonneville,2009-05-03,6317,USGS,14128600,75.43
Bonneville,2009-05-04,3856,USGS,14128600,75.59
Bonneville,2009-05-05,4827,USGS,14128600,75.84
Bonneville,2009-05-06,4493,USGS,14128600,76.45
Bonneville,2009-05-07,5026,USGS,14128600,76.45
Bonneville,2009-05-08,4277,USGS,14128600,74.5
Bonneville,2009-05-09,2153,USGS,14128600,75.6
Bonneville,2009-05-10,3195,USGS,14128600,75.97
Bonneville,2009-05-11,3481,USGS,14128600,76.16
Bonneville,2009-05-12,3821,USGS,14128600,76.3
Bonneville,2009-05-13,1848,USGS,14128600,76.97
Bonneville,2009-05-14,1897,USGS,14128600,76.1
Bonneville,2009-05-15,3308,USGS,14128600,75.64
Bonneville,2009-05-16,2506,USGS,14128600,75.54
Bonneville,2009-05-17,2648,USGS,14128600,75.19
Bonneville,2009-05-18,4166,USGS,14128600,75.51
Bonneville,2009-05-19,3095,USGS,14128600,76.43
Bonneville,2009-05-20,2136,USGS,14128600,76.88
Bonneville,2009-05-21,2110,USGS,14128600,76.57
Bonneville,2009-05-22,2172,USGS,14128600,76.49
Bonneville,2009-05-23,2010,USGS,14128600,75.41
Bonneville,2009-05-24,2128,USGS,14128600,76.39
Bonneville,2009-05-25,1962,USGS,14128600,76.2
Bonneville,2009-05-26,1830,USGS,14128600,76.6
Bonneville,2009-05-27,1432,USGS,14128600,76.24
Bonneville,2009-05-28,1310,USGS,14128600,76.21
Bonneville,2009-05-29,1540,USGS,14128600,75.67
Bonneville,2009-05-30,1251,USGS,14128600,76.55
Bonneville,2009-05-31,1670,USGS,14128600,76.84
Bonneville,2010-03-01,3,USGS,14128600,76.79
Bonneville,2010-03-02,0,USGS,14128600,76.71
Bonneville,2010-03-03,0,USGS,14128600,76.93
Bonneville,2010-03-04,0,USGS,14128600,76.95
Bonneville,2010-03-05,0,USGS,14128600,76.71
Bonneville,2010-03-06,1,USGS,14128600,76.88
Bonneville,2010-03-07,0,USGS,14128600,76.65
Bonneville,2010-03-08,1,USGS,14128600,76.06
Bonneville,2010-03-09,1,USGS,14128600,76.58
Bonneville,2010-03-10,2,USGS,14128600,76.81
Bonneville,2010-03-11,4,USGS,14128600,76.6
Bonneville,2010-03-12,6,USGS,14128600,76.27
Bonneville,2010-03-13,7,USGS,14128600,75.21
Bonneville,2010-03-14,9,USGS,14128600,75.3
Bonneville,2010-03-15,7,USGS,14128600,75.32
Bonneville,2010-03-16,11,USGS,14128600,75.09
Bonneville,2010-03-17,6,USGS,14128600,74.37
Bonneville,2010-03-18,14,USGS,14128600,73.89
Bonneville,2010-03-19,25,USGS,14128600,73.76
Bonneville,2010-03-20,11,USGS,14128600,73.84
Bonneville,2010-03-21,9,USGS,14128600,73.28
Bonneville,2010-03-22,22,USGS,14128600,73.21
Bonneville,2010-03-23,16,USGS,14128600,74.88
Bonneville,2010-03-24,24,USGS,14128600,75.32
Bonneville,2010-03-25,35,USGS,14128600,75.91
Bonneville,2010-03-26,32,USGS,14128600,76.07
Bonneville,2010-03-27,23,USGS,14128600,76.22
Bonneville,2010-03-28,26,USGS,14128600,75.79
Bonneville,2010-03-29,45,USGS,14128600,76.3
Bonneville,2010-03-30,74,USGS,14128600,76.09
Bonneville,2010-03-31,54,USGS,14128600,75.22
Bonneville,2010-04-01,166,USGS,14128600,73.67
Bonneville,2010-04-02,227,USGS,14128600,72.82
