Project,Year,Dates,Chinook,site_no,temperature_c,temperature_f
Bonneville,2008, 3/15 - 5/31,125543,453845121561986.3,8.772360670593567,47.79024920706842
Bonneville,2009, 3/15 - 5/31,114525,453845121561986.94,9.656449771689463,49.381609589041034
Bonneville,2010, 3/15 - 5/31,244385,453845121561986.9,10.357499999999996,50.64349999999999
Bonneville,2011, 3/15 - 5/31,167097,453845121561987.3,9.738436482084648,49.529185667752365
Bonneville,2012, 3/15 - 5/31,158075,453845121561986.75,9.490811965812004,49.083461538461606
Bonneville,2013, 3/15 - 5/31,83299,453845121561987.0,10.769776995305197,51.38559859154935
Bonneville,2014, 3/15 - 5/31,188078,453845121561986.7,10.063593749999976,50.11446874999996
Bonneville,2015, 3/15 - 5/31,220250,453845121561986.9,11.709346846846877,53.07682432432438
Bonneville,2016, 3/15 - 5/31,137176,453845121561986.75,11.601190476190483,52.88214285714287
Bonneville,2017, 3/15 - 5/31,83616,453845121561986.3,8.974010013654995,48.15321802457899
Bonneville,2018, 3/15 - 5/31,87890,453845121561986.44,9.561707200763024,49.211072961373446
Bonneville,2019, 3/15 - 5/31,54656,453845121561986.75,10.10870499731325,50.19566899516385
Bonneville,2020, 3/15 - 5/31,55575,453845121561986.7,10.407372793354101,50.73327102803738
