Project,Year,Dates,Chinook,site_no,Gage_Mean
Bonneville,2009, 3/15 - 5/31,114525,14128600,75.92934782608698
Bonneville,2010, 3/15 - 5/31,244385,14128600,75.8063043478261
Bonneville,2011, 3/15 - 5/31,167097,14128600,75.95315217391308
Bonneville,2012, 3/15 - 5/31,158075,14128600,76.11586956521742
Bonneville,2013, 3/15 - 5/31,83299,14128600,75.50173913043476
Bonneville,2014, 3/15 - 5/31,188078,14128600,75.81684782608694
Bonneville,2015, 3/15 - 5/31,220250,14128600,74.9720652173913
Bonneville,2016, 3/15 - 5/31,137176,14128600,75.54945652173915
Bonneville,2017, 3/15 - 5/31,83616,14128600,76.4780434782609
Bonneville,2018, 3/15 - 5/31,87890,14128600,75.85869565217392
Bonneville,2019, 3/15 - 5/31,54656,14128600,75.58782608695653
Bonneville,2020, 3/15 - 5/31,55575,14128600,75.33130434782608
